datetime_beginning_utc,datetime_beginning_ept,fuel_type,mw,fuel_percentage_of_total,is_renewable
6/1/2025 11:00:00 AM,6/1/2025 7:00:00 AM,Wind,1785,0.023,True
6/1/2025 10:00:00 AM,6/1/2025 6:00:00 AM,Coal,8968,0.120,False
6/1/2025 10:00:00 AM,6/1/2025 6:00:00 AM,Gas,29101,0.390,False
6/1/2025 10:00:00 AM,6/1/2025 6:00:00 AM,Hydro,1402,0.018,True
6/1/2025 10:00:00 AM,6/1/2025 6:00:00 AM,Multiple Fuels,3,0.000,False
6/1/2025 10:00:00 AM,6/1/2025 6:00:00 AM,Nuclear,31827,0.426,False
6/1/2025 10:00:00 AM,6/1/2025 6:00:00 AM,Oil,224,0.003,False
6/1/2025 10:00:00 AM,6/1/2025 6:00:00 AM,Other Renewables,564,0.007,True
6/1/2025 10:00:00 AM,6/1/2025 6:00:00 AM,Solar,363,0.004,True
6/1/2025 10:00:00 AM,6/1/2025 6:00:00 AM,Storage,0,0.000,False
6/1/2025 10:00:00 AM,6/1/2025 6:00:00 AM,Wind,2164,0.029,True
6/1/2025 9:00:00 AM,6/1/2025 5:00:00 AM,Coal,8786,0.118,False
6/1/2025 9:00:00 AM,6/1/2025 5:00:00 AM,Gas,28988,0.390,False
6/1/2025 9:00:00 AM,6/1/2025 5:00:00 AM,Hydro,1398,0.018,True
6/1/2025 9:00:00 AM,6/1/2025 5:00:00 AM,Multiple Fuels,3,0.000,False
6/1/2025 9:00:00 AM,6/1/2025 5:00:00 AM,Nuclear,31795,0.428,False
6/1/2025 9:00:00 AM,6/1/2025 5:00:00 AM,Oil,226,0.003,False
6/1/2025 9:00:00 AM,6/1/2025 5:00:00 AM,Other Renewables,569,0.007,True
6/1/2025 9:00:00 AM,6/1/2025 5:00:00 AM,Solar,0,0.000,True
6/1/2025 9:00:00 AM,6/1/2025 5:00:00 AM,Storage,0,0.000,False
6/1/2025 9:00:00 AM,6/1/2025 5:00:00 AM,Wind,2409,0.032,True
6/1/2025 8:00:00 AM,6/1/2025 4:00:00 AM,Coal,8689,0.117,False
6/1/2025 8:00:00 AM,6/1/2025 4:00:00 AM,Gas,28607,0.387,False
6/1/2025 8:00:00 AM,6/1/2025 4:00:00 AM,Hydro,1422,0.019,True
6/1/2025 8:00:00 AM,6/1/2025 4:00:00 AM,Multiple Fuels,3,0.000,False
6/1/2025 8:00:00 AM,6/1/2025 4:00:00 AM,Nuclear,31767,0.429,False
6/1/2025 8:00:00 AM,6/1/2025 4:00:00 AM,Oil,228,0.003,False
6/1/2025 8:00:00 AM,6/1/2025 4:00:00 AM,Other Renewables,566,0.007,True
6/1/2025 8:00:00 AM,6/1/2025 4:00:00 AM,Solar,0,0.000,True
6/1/2025 8:00:00 AM,6/1/2025 4:00:00 AM,Storage,0,0.000,False
6/1/2025 8:00:00 AM,6/1/2025 4:00:00 AM,Wind,2616,0.035,True
6/1/2025 7:00:00 AM,6/1/2025 3:00:00 AM,Coal,8844,0.119,False
6/1/2025 7:00:00 AM,6/1/2025 3:00:00 AM,Gas,28299,0.382,False
6/1/2025 7:00:00 AM,6/1/2025 3:00:00 AM,Hydro,1431,0.019,True
6/1/2025 7:00:00 AM,6/1/2025 3:00:00 AM,Multiple Fuels,3,0.000,False
6/1/2025 7:00:00 AM,6/1/2025 3:00:00 AM,Nuclear,31709,0.428,False
6/1/2025 7:00:00 AM,6/1/2025 3:00:00 AM,Oil,227,0.003,False
6/1/2025 7:00:00 AM,6/1/2025 3:00:00 AM,Other Renewables,565,0.007,True
