datetime_beginning_utc,datetime_beginning_ept,area,instantaneous_load
6/5/2025 3:30:01 AM,6/4/2025 11:30:01 PM,PJM MID ATLANTIC REGION,31085.168000
6/5/2025 3:30:01 AM,6/4/2025 11:30:01 PM,PJM RTO,93241.110000
6/5/2025 3:30:01 AM,6/4/2025 11:30:01 PM,PJM WESTERN REGION,45852.335900
6/5/2025 3:30:01 AM,6/4/2025 11:30:01 PM,PL,4520.335000
6/5/2025 3:30:01 AM,6/4/2025 11:30:01 PM,PN,1980.700930
6/5/2025 3:30:01 AM,6/4/2025 11:30:01 PM,PS,5556.299320
6/5/2025 3:30:01 AM,6/4/2025 11:30:01 PM,RECO,183.903870
6/5/2025 3:30:01 AM,6/4/2025 11:30:01 PM,UG,110.970000
6/5/2025 3:30:01 AM,6/4/2025 11:30:01 PM,PJM SOUTHERN REGION,14711.649400
6/5/2025 3:25:00 AM,6/4/2025 11:25:00 PM,AE,1201.347660
6/5/2025 3:25:00 AM,6/4/2025 11:25:00 PM,AEP,15860.377900
6/5/2025 3:25:00 AM,6/4/2025 11:25:00 PM,APS,5516.888000
6/5/2025 3:25:00 AM,6/4/2025 11:25:00 PM,ATSI,8148.860000
6/5/2025 3:25:00 AM,6/4/2025 11:25:00 PM,BC,3423.858400
6/5/2025 3:25:00 AM,6/4/2025 11:25:00 PM,COMED,9743.821000
6/5/2025 3:25:00 AM,6/4/2025 11:25:00 PM,DAYTON,2124.716000
6/5/2025 3:25:00 AM,6/4/2025 11:25:00 PM,DEOK,3351.837400
6/5/2025 3:25:00 AM,6/4/2025 11:25:00 PM,DOM,14995.399400
6/5/2025 3:25:00 AM,6/4/2025 11:25:00 PM,DPL,1936.893550
6/5/2025 3:25:00 AM,6/4/2025 11:25:00 PM,DUQ,1618.605350
6/5/2025 3:25:00 AM,6/4/2025 11:25:00 PM,EKPC,1574.808350
6/5/2025 3:25:00 AM,6/4/2025 11:25:00 PM,JC,2911.814450
6/5/2025 3:25:00 AM,6/4/2025 11:25:00 PM,ME,1785.755130
6/5/2025 3:25:00 AM,6/4/2025 11:25:00 PM,PE,4468.353000
6/5/2025 3:25:00 AM,6/4/2025 11:25:00 PM,PEP,3317.244870
6/5/2025 3:25:00 AM,6/4/2025 11:25:00 PM,PJM MID ATLANTIC REGION,31212.152300
6/5/2025 3:25:00 AM,6/4/2025 11:25:00 PM,PJM RTO,94147.460000
6/5/2025 3:25:00 AM,6/4/2025 11:25:00 PM,PJM WESTERN REGION,46365.105500
6/5/2025 3:25:00 AM,6/4/2025 11:25:00 PM,PL,4593.927000
6/5/2025 3:25:00 AM,6/4/2025 11:25:00 PM,PN,2000.144170
6/5/2025 3:25:00 AM,6/4/2025 11:25:00 PM,PS,5590.734000
6/5/2025 3:25:00 AM,6/4/2025 11:25:00 PM,RECO,186.363663
6/5/2025 3:25:00 AM,6/4/2025 11:25:00 PM,UG,111.970000
6/5/2025 3:25:00 AM,6/4/2025 11:25:00 PM,PJM SOUTHERN REGION,14995.399400
6/5/2025 3:20:00 AM,6/4/2025 11:20:00 PM,AE,1210.227170
6/5/2025 3:20:00 AM,6/4/2025 11:20:00 PM,AEP,15878.504900
6/5/2025 3:20:00 AM,6/4/2025 11:20:00 PM,APS,5586.883300
6/5/2025 3:20:00 AM,6/4/2025 11:20:00 PM,ATSI,8162.089360
6/5/2025 3:20:00 AM,6/4/2025 11:20:00 PM,BC,3459.963130
6/5/2025 3:20:00 AM,6/4/2025 11:20:00 PM,COMED,9761.195000
6/5/2025 3:20:00 AM,6/4/2025 11:20:00 PM,DAYTON,2140.785160
6/5/2025 3:20:00 AM,6/4/2025 11:20:00 PM,DEOK,3353.406740
6/5/2025 3:20:00 AM,6/4/2025 11:20:00 PM,DOM,15062.866200
6/5/2025 3:20:00 AM,6/4/2025 11:20:00 PM,DPL,1951.255370
6/5/2025 3:20:00 AM,6/4/2025 11:20:00 PM,DUQ,1625.156250
6/5/2025 3:20:00 AM,6/4/2025 11:20:00 PM,EKPC,1584.384520
6/5/2025 3:20:00 AM,6/4/2025 11:20:00 PM,JC,2845.858000
6/5/2025 3:20:00 AM,6/4/2025 11:20:00 PM,ME,1802.419680
6/5/2025 3:20:00 AM,6/4/2025 11:20:00 PM,PE,4488.247000
6/5/2025 3:20:00 AM,6/4/2025 11:20:00 PM,PEP,3353.773190
6/5/2025 3:20:00 AM,6/4/2025 11:20:00 PM,PJM MID ATLANTIC REGION,31494.138700
6/5/2025 3:20:00 AM,6/4/2025 11:20:00 PM,PJM RTO,94649.410000
6/5/2025 3:20:00 AM,6/4/2025 11:20:00 PM,PJM WESTERN REGION,46512.390000
6/5/2025 3:20:00 AM,6/4/2025 11:20:00 PM,PL,4611.344000
